Product;;
Product;;
Product;Yield;Error
Zr99;0.061354;9.9529E-4
Zr100;0.062841;0.0039683
Zr101;0.054134;0.0028258
Zr102;0.04316;0.0078369
Zr103;0.022514;0.0030978
Zr104;0.0091377;0.0032692
Zr105;0.0024246;8.0143E-4
Zr106;5.8985E-4;2.188E-4
Zr107;3.4568E-5;1.3517E-5
Zr108;2.6565E-6;2.3369E-6
Zr109;4.709E-11;1.7314E-11
Nb95;0.052475;8.4191E-4
Nb95m;5.6725E-4;6.2775E-5
Nb96;1.3163E-9;5.2122E-10
Nb97;0.057284;7.447E-4
Nb97m;0.054432;7.4976E-4
Nb98;0.057863;0.0030668
Nb98m;7.791E-5;2.7425E-5
Nb99;0.039879;0.0019087
Nb99m;0.022709;0.0018703
Nb100;0.063256;0.0039918
Nb100m;0.0020102;7.2436E-4
Nb101;0.063412;0.0031078
Nb102;0.051167;0.0090886
Nb102m;0.008007;0.0024489
Nb103;0.050878;0.0014438
Nb104;0.01839;0.0046532
Nb104m;0.0092185;0.0027246
Nb105;0.017342;0.0019961
Nb106;0.0063457;0.0014212
Nb107;0.0029353;8.6724E-4
Nb108;2.5188E-4;2.1347E-4
Nb109;5.1244E-5;1.7883E-5
Nb110;2.5451E-5;2.4318E-5
Nb111;1.7669E-10;6.1763E-11
Nb112;1.1381E-5;4.3706E-6
Mo95;0.052506;8.4217E-4
Mo96;1.3163E-9;5.2122E-10
Mo97;0.057284;7.447E-4
Mo98;0.057941;0.0030709
Mo99;0.062147;9.9549E-4
Mo100;0.065416;0.0041212
Mo101;0.06419;0.0031365
Mo102;0.062888;0.011068
Mo103;0.060231;0.0010844
Mo104;0.046063;0.0099956
Mo105;0.036077;0.0015236
Mo106;0.023372;0.0012549
Mo107;0.014039;0.0013823
Mo108;0.0030603;0.0020296
Mo109;6.7074E-4;1.0216E-4
Mo110;2.1258E-4;1.7698E-4
Mo111;4.5145E-5;1.3909E-5
Mo112;2.2763E-5;6.2671E-6
Mo113;6.1274E-6;2.6638E-6
Mo114;2.5808E-11;2.7324E-11
Tc99;0.062145;9.9522E-4
Tc99m;0.054727;0.0010819
Tc101;0.06419;0.0031365
Tc102;0.062894;0.011069
Tc102m;6.165E-6;2.6504E-6
Tc103;0.06033;0.001086
Tc104;0.046365;0.0099994
Tc105;0.037226;0.0015635
Tc106;0.024932;0.0013217
Tc107;0.017103;0.0016254
Tc108;0.0042564;0.0027722
Tc109;0.0014215;1.0855E-4
Tc110;6.0042E-4;4.2667E-4
Tc111;2.8179E-4;3.3753E-5
Tc112;7.9175E-5;1.9261E-5
Tc113;4.8998E-5;1.65E-5
Tc114;2.0404E-5;2.081E-5
Tc115;1.3625E-8;4.9832E-9
Tc116;2.5795E-10;2.9114E-10
Ru99;2.0249E-6;1.8832E-7
Ru101;0.06419;0.0031365
Ru102;0.0629;0.01107
Ru103;0.060331;0.001086
Ru103m;1.0272E-6;3.5815E-7
Ru104;0.046382;0.0099994
Ru105;0.037268;0.0015653
Ru106;0.025063;0.0013284
Ru107;0.017304;0.001644
Ru108;0.0045399;0.0029555
Ru109;0.0016163;1.1961E-4
Ru110;8.9348E-4;6.2012E-4
Ru111;5.4274E-4;2.3268E-5
Ru112;4.0026E-4;4.2497E-5
Ru113;1.8924E-4;3.7645E-5
Ru113m;9.495E-5;2.3731E-5
Ru114;1.6183E-4;1.2986E-4
Ru115;3.1695E-5;1.0042E-5
Ru116;2.4148E-5;2.6473E-5
Ru117;1.1052E-5;1.0679E-5
Ru118;3.9555E-9;5.3211E-9
Ru119;3.9925E-11;3.6328E-11
Ru120;1.0505E-7;8.1028E-8
Rh103;0.060331;0.001086
Rh103m;0.059609;0.0010775
Rh105;0.037268;0.0015653
Rh105m;0.01058;0.0010801
Rh106;0.025064;0.0013284
Rh106m;1.4282E-6;5.4766E-7
Rh107;0.017304;0.001644
Rh108;0.0045399;0.0029555
Rh108m;5.7901E-8;5.0952E-8
Rh109;0.0016172;1.1968E-4
Rh110;9.0591E-4;6.2871E-4
Rh110m;2.9281E-7;2.8394E-7
Rh111;6.4444E-4;2.3159E-5
Rh112;4.2873E-4;4.5128E-5
Rh112m;2.8473E-5;9.911E-6
Rh113;3.0415E-4;5.7512E-5
