Product;;
Product;;
Product;Yield;Error
Sr95;0.053262;0.0011649
Sr96;0.040249;0.0019256
Sr97;0.018877;0.0029999
Sr98;0.0076232;0.0020092
Sr99;0.0019173;6.4949E-4
Sr100;4.437E-4;1.6636E-4
Sr101;3.6656E-5;1.3457E-5
Sr102;1.1617E-6;4.1598E-7
Sr103;7.1962E-10;2.5962E-10
Y89;0.047288;6.6275E-4
Y89m;4.5581E-6;4.4405E-7
Y90;0.056763;0.0013069
Y90m;1.9046E-6;7.2903E-7
Y91;0.058481;4.6858E-4
Y91m;0.034412;0.0017106
Y92;0.060404;5.4E-4
Y93;0.064452;6.9685E-4
Y93m;0.016721;0.0014662
Y94;0.063937;7.1101E-4
Y95;0.064038;6.5784E-4
Y96;0.04656;0.001533
Y96m;0.011347;0.0024114
Y97;0.021646;0.0024624
Y97m;0.025212;0.0019861
Y97n;0.0049552;8.0754E-4
Y98;0.011925;0.00198
Y98m;0.01809;0.0026562
Y99;0.021294;0.0031123
Y100;0.0043265;0.0012171
Y100m;0.0038862;0.001216
Y101;0.0030072;9.6744E-4
Y102;2.6986E-4;9.4381E-5
Y102m;2.6986E-4;9.4381E-5
Y103;7.1713E-5;2.5738E-5
Y104;6.4808E-6;2.4373E-6
Y105;2.5041E-9;1.0211E-9
Zr90;0.056763;0.0013069
Zr90m;3.4282E-11;1.3123E-11
Zr91;0.058481;4.6858E-4
Zr92;0.060407;5.4E-4
Zr93;0.064474;6.9685E-4
Zr94;0.064114;7.1062E-4
Zr95;0.065042;6.5244E-4
Zr96;0.063064;8.1985E-4
Zr97;0.059809;7.1376E-4
Zr98;0.056787;8.0362E-4
Zr99;0.057573;8.808E-4
Zr100;0.053928;0.0010807
Zr101;0.033086;0.0016831
Zr102;0.017916;0.0020273
Zr103;0.004484;0.0011452
Zr104;0.0010244;3.3792E-4
Zr105;7.1932E-5;2.8801E-5
Zr106;8.0296E-6;3.6933E-6
Zr107;2.1572E-9;8.6312E-10
Zr108;2.1585E-11;8.2659E-12
Nb95;0.065006;6.5232E-4
Nb95m;7.032E-4;6.9778E-5
Nb96;1.5159E-5;5.4785E-6
Nb97;0.059961;7.1376E-4
Nb97m;0.056875;7.2842E-4
Nb98;0.056961;8.0337E-4
Nb98m;5.2697E-4;1.8242E-4
Nb99;0.039811;0.0016766
Nb99m;0.021878;0.0016735
Nb100;0.055398;0.0010397
Nb100m;0.0061842;0.0019518
Nb101;0.048977;8.0286E-4
Nb102;0.026863;0.0015117
Nb102m;0.0089475;0.0014314
Nb103;0.02165;0.0010023
Nb104;0.0043567;6.6442E-4
Nb104m;0.0033313;6.4694E-4
Nb105;0.0024144;5.143E-4
Nb106;3.3154E-4;1.2102E-4
Nb107;5.0044E-5;1.8408E-5
Nb108;4.8336E-6;1.8167E-6
Nb109;1.5906E-6;5.8877E-7
Nb110;7.4167E-11;2.8608E-11
Mo95;0.065045;6.5241E-4
Mo96;1.5159E-5;5.4785E-6
Mo97;0.059962;7.1376E-4
Mo98;0.057513;8.059E-4
Mo99;0.061399;7.9864E-4
Mo100;0.062549;0.0010008
Mo101;0.051782;7.7655E-4
Mo102;0.042853;6.4291E-4
Mo103;0.030817;6.4819E-4
Mo104;0.018246;2.2675E-4
Mo105;0.008601;1.3769E-4
Mo106;0.003397;9.7647E-5
Mo107;7.0595E-4;7.2162E-5
Mo108;1.6122E-4;3.1486E-5
Mo109;3.6202E-5;1.016E-5
Mo110;3.6146E-6;1.3551E-6
Mo111;1.6438E-8;5.8446E-9
Mo112;5.1885E-10;1.9627E-10
Mo113;7.5228E-12;2.7812E-12
Tc99;0.061397;7.9852E-4
Tc99m;0.054068;8.9965E-4
Tc100;1.0741E-8;4.0835E-9
Tc101;0.051793;7.7655E-4
Tc102;0.042895;6.4346E-4
Tc102m;4.1808E-5;1.5129E-5
Tc103;0.031114;6.534E-4
Tc104;0.018808;2.2548E-4
Tc105;0.0094468;1.0421E-4
Tc106;0.0040417;9.3201E-5
Tc107;0.0013192;5.752E-5
Tc108;4.8087E-4;3.066E-5
Tc109;1.9053E-4;1.8251E-5
Tc110;9.4446E-5;1.7371E-5
Tc111;3.673E-5;8.5871E-6
Tc112;4.3599E-6;1.533E-6
Tc113;1.4882E-6;5.3915E-7
Tc114;1.0588E-6;3.7725E-7
Tc115;8.4259E-11;3.1761E-11
Ru99;2.0005E-6;1.6958E-7
Ru100;1.0741E-8;4.0835E-9
Ru101;0.051793;7.7655E-4
Ru102;0.042939;6.4408E-4
Ru103;0.031118;6.5348E-4
Ru103m;2.5041E-6;9.1332E-7
Ru104;0.018832;2.2548E-4
Ru105;0.0094881;1.0441E-4
Ru106;0.0040958;9.4211E-5
Ru107;0.0013872;5.9651E-5
Ru108;5.6465E-4;3.3882E-5
