Product;;
Product;;
Product;Yield;Error
Zr90m;1.9676E-11;7.1288E-12
Zr91;0.024308;3.1604E-4
Zr92;0.030962;4.0001E-4
Zr93;0.039352;5.4376E-4
Zr94;0.044605;6.2561E-4
Zr95;0.048805;5.3755E-4
Zr96;0.049923;5.4921E-4
Zr97;0.053275;4.2626E-4
Zr98;0.052235;7.7095E-4
Zr99;0.052586;9.9346E-4
Zr100;0.047165;0.0016872
Zr101;0.026315;0.0030351
Zr102;0.014311;0.0029629
Zr103;0.0037533;0.0011699
Zr104;0.0010991;3.7566E-4
Zr105;1.1775E-4;4.0311E-5
Zr106;1.6743E-5;5.6709E-6
Zr107;7.7283E-9;2.6353E-9
Nb94;1.0294E-8;2.8356E-9
Nb94m;4.2642E-9;1.6351E-9
Nb95;0.048781;5.3741E-4
Nb95m;5.2818E-4;6.097E-5
Nb96;5.8635E-5;2.0677E-5
Nb97;0.053807;4.2672E-4
Nb97m;0.050737;4.8047E-4
Nb98;0.052704;7.6273E-4
Nb98m;0.0014143;4.8584E-4
Nb99;0.040408;0.0015914
Nb99m;0.020914;0.0015714
Nb100;0.050055;0.0015307
Nb100m;0.012157;0.0028932
Nb101;0.055771;0.0012312
Nb102;0.029432;0.0027011
Nb102m;0.015121;0.0022299
Nb103;0.033887;0.003035
Nb104;0.0085783;0.0019056
Nb104m;0.0074775;0.0019095
Nb105;0.0072565;0.0019672
Nb106;0.0014647;4.6746E-4
Nb107;2.9795E-4;1.0026E-4
Nb108;2.1543E-5;7.3936E-6
Nb109;3.0121E-6;1.0256E-6
Nb110;1.4945E-10;5.2011E-11
Mo94;2.1321E-11;8.1757E-12
Mo95;0.04881;5.3756E-4
Mo96;6.0527E-5;2.0687E-5
Mo97;0.053814;4.2672E-4
Mo98;0.054189;7.5931E-4
Mo99;0.06141;4.3029E-4
Mo100;0.064983;0.0011697
Mo101;0.063326;9.4994E-4
Mo102;0.066333;0.0012621
Mo103;0.065627;8.7073E-4
Mo104;0.059086;0.0014276
Mo105;0.036726;0.0020059
Mo106;0.019762;0.0020968
Mo107;0.0060327;0.0014258
Mo108;0.0017629;5.2465E-4
Mo109;2.9057E-4;9.4594E-5
Mo110;3.7827E-5;1.3056E-5
Mo111;2.0941E-6;7.4307E-7
Mo112;4.6844E-10;1.6746E-10
Tc99;0.061408;4.302E-4
Tc99m;0.054078;6.6918E-4
Tc100;1.7986E-5;6.5512E-6
Tc101;0.063424;9.5115E-4
Tc102;0.066629;0.0012664
Tc102m;2.9578E-4;1.0036E-4
Tc103;0.068652;8.2384E-4
Tc104;0.06642;0.0013954
Tc105;0.054518;0.0013267
Tc106;0.038127;0.0010922
Tc107;0.022755;0.0016323
Tc108;0.0099221;0.001001
Tc109;0.0041771;6.3055E-4
Tc110;0.0012182;3.0083E-4
Tc111;2.6613E-4;8.0672E-5
Tc112;3.8357E-5;1.3054E-5
Tc113;2.4518E-5;8.421E-6
Tc114;6.0236E-6;2.1212E-6
Tc115;2.4064E-6;8.6961E-7
Ru99;2.0009E-6;1.67E-7
Ru100;1.7986E-5;6.5512E-6
Ru101;0.063427;9.5115E-4
Ru102;0.066934;0.0012718
Ru103;0.068709;8.244E-4
Ru103m;4.0715E-5;1.4267E-5
Ru104;0.066958;0.0014036
Ru105;0.056349;0.0013524
Ru106;0.043404;9.9841E-4
Ru107;0.029787;0.0019067
Ru108;0.018869;8.9031E-4
Ru109;0.009831;4.0538E-4
Ru110;0.0047252;3.5379E-4
Ru111;0.0015004;1.4385E-4
Ru112;4.7562E-4;7.3431E-5
Ru113;1.2757E-4;2.2437E-5
Ru113m;6.9615E-5;2.0244E-5
Ru114;5.402E-5;1.4773E-5
Ru115;6.8737E-6;1.8789E-6
Ru116;3.0448E-6;1.0934E-6
Ru117;1.3968E-10;5.0887E-11
Rh103;0.068709;8.244E-4
Rh103m;0.067886;8.205E-4
Rh104;1.1332E-6;3.1796E-7
Rh104m;8.5197E-7;3.0186E-7
Rh105;0.05636;0.0013526
Rh105m;0.015998;0.0013828
Rh106;0.043426;9.9887E-4
Rh106m;5.0797E-5;1.6996E-5
Rh107;0.030072;0.0019246
Rh108;0.01902;8.9592E-4
Rh108m;4.5665E-4;1.3791E-4
Rh109;0.011022;4.1885E-4
Rh110;0.005993;4.0789E-4
Rh110m;3.3844E-5;8.6685E-6
Rh111;0.0027189;1.1505E-4
Rh112;7.7472E-4;6.403E-5
Rh112m;2.9909E-4;4.7462E-5
Rh113;6.2315E-4;3.3471E-5
Rh114;1.5775E-4;2.2381E-5
Rh114m;1.0371E-4;2.0539E-5
Rh115;9.8889E-5;2.0293E-5
Rh116;1.3974E-5;3.812E-6
Rh116m;2.5675E-5;8.3013E-6
Rh117;1.4424E-5;4.9804E-6
Rh118;2.477E-8;9.0706E-9
Rh119;1.1697E-9;4.4019E-10
