Product;Th227  Thermal (0.0253 eV);Th227  Thermal (0.0253 eV);Th229  Thermal (0.0253 eV);Th229  Thermal (0.0253 eV);Th232  Fast (500 keV);Th232  Fast (500 keV);Pa231  Fast (500 keV);Pa231  Fast (500 keV);U232  Thermal (0.0253 eV);U232  Thermal (0.0253 eV);U233  Thermal (0.0253 eV);U233  Thermal (0.0253 eV);U234  Fast (500 keV);U234  Fast (500 keV);U235  Thermal (0.0253 eV);U235  Thermal (0.0253 eV);U236  Fast (500 keV);U236  Fast (500 keV);U237  Fast (500 keV);U237  Fast (500 keV);U238  Fast (500 keV);U238  Fast (500 keV);Np237  Fast (500 keV);Np237  Fast (500 keV);Np238  Fast (500 keV);Np238  Fast (500 keV);Pu238  Fast (500 keV);Pu238  Fast (500 keV);Pu239  Thermal (0.0253 eV);Pu239  Thermal (0.0253 eV);Pu240  Thermal (0.0253 eV);Pu240  Thermal (0.0253 eV);Pu241  Thermal (0.0253 eV);Pu241  Thermal (0.0253 eV);Pu242  Thermal (0.0253 eV);Pu242  Thermal (0.0253 eV);Am241  Thermal (0.0253 eV);Am241  Thermal (0.0253 eV);Am242m  Thermal (0.0253 eV);Am242m  Thermal (0.0253 eV);Am243  Fast (500 keV);Am243  Fast (500 keV);Cm242  Fast (500 keV);Cm242  Fast (500 keV);Cm243  Thermal (0.0253 eV);Cm243  Thermal (0.0253 eV);Cm244  Fast (500 keV);Cm244  Fast (500 keV);Cm245  Thermal (0.0253 eV);Cm245  Thermal (0.0253 eV);Cm246  Fast (500 keV);Cm246  Fast (500 keV);Cm248  Fast (500 keV);Cm248  Fast (500 keV);Cf249  Thermal (0.0253 eV);Cf249  Thermal (0.0253 eV);Cf251  Thermal (0.0253 eV);Cf251  Thermal (0.0253 eV);Fm255  Thermal (0.0253 eV);Fm255  Thermal (0.0253 eV)
Product;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error
Ag126;0.0;0.0;0.0;0.0;3.73992E-11;2.39355E-11;4.58E-14;2.9312E-14;0.0;0.0;7.42981E-13;4.75508E-13;8.56001E-14;5.4784E-14;4.74966E-12;3.03979E-12;5.59028E-12;3.57778E-12;1.77002E-11;1.13281E-11;9.44006E-11;6.04164E-11;7.44E-13;4.7616E-13;9.46E-13;6.0544E-13;1.13E-13;7.232E-14;3.86995E-14;2.47677E-14;1.59E-13;1.0176E-13;1.77E-12;1.1328E-12;9.8E-12;6.272E-12;2.59001E-14;1.6576E-14;7.16E-14;4.5824E-14;2.88E-13;1.8432E-13;0.0;0.0;1.97E-14;1.2608E-14;1.75E-14;1.12E-14;2.35E-13;1.504E-13;9.28E-13;5.9392E-13;2.85E-11;1.824E-11;1.21976E-8;7.80647E-9;4.92124E-13;3.1496E-13;1.07E-14;6.84801E-15
Ag127;0.0;0.0;0.0;0.0;4.4199E-12;2.82874E-12;0.0;0.0;0.0;0.0;7.37981E-14;4.72308E-14;0.0;0.0;1.57989E-12;1.01113E-12;4.29021E-13;2.74574E-13;1.43002E-12;9.1521E-13;1.19001E-11;7.61605E-12;6.74E-14;4.3136E-14;7.18E-14;4.5952E-14;1.36E-14;8.704E-15;0.0;0.0;2.15E-14;1.376E-14;1.33E-13;8.51199E-14;8.01E-13;5.1264E-13;0.0;0.0;0.0;0.0;1.66E-14;1.0624E-14;0.0;0.0;0.0;0.0;0.0;0.0;2.79E-14;1.7856E-14;7.89E-14;5.0496E-14;3.08E-12;1.9712E-12;3.33935E-10;2.13718E-10;4.03102E-14;2.57985E-14;0.0;0.0
Ag128;0.0;0.0;0.0;0.0;2.35995E-13;1.51037E-13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.11992E-13;7.16749E-14;1.69008E-14;1.08165E-14;9.48011E-14;6.06727E-14;7.10005E-13;4.54403E-13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.75E-14;3.04E-14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.59E-13;1.0176E-13;5.67889E-11;3.63449E-11;0.0;0.0;0.0;0.0
Ag129;2.89377E-12;1.85201E-12;7.06916E-18;4.52426E-18;3.69294E-15;2.36348E-15;4.21411E-17;2.69703E-17;1.50377E-10;9.62412E-11;5.97133E-9;3.82165E-9;7.95562E-17;5.0916E-17;2.9186E-17;1.86791E-17;1.22335E-15;7.82946E-16;3.87447E-15;2.47966E-15;2.11649E-14;1.35455E-14;4.11994E-16;2.63676E-16;4.95732E-16;3.17269E-16;1.29539E-8;8.29048E-9;4.67593E-17;2.99259E-17;2.41167E-16;1.54347E-16;4.33031E-16;2.7714E-16;2.67989E-15;1.71513E-15;6.21521E-9;3.97774E-9;1.25103E-16;8.0066E-17;1.04173E-16;6.66705E-17;2.7709E-10;1.77338E-10;1.00475E-8;6.43037E-9;1.38145E-8;8.84129E-9;2.64809E-16;1.69478E-16;3.35531E-16;2.1474E-16;3.37983E-15;2.16309E-15;1.85136E-11;1.18487E-11;2.94834E-16;1.88694E-16;2.26417E-16;1.44907E-16
Ag130;1.03E-13;6.59201E-14;7.83004E-12;5.01123E-12;0.0;0.0;7.69E-11;4.9216E-11;1.21017E-11;7.74508E-12;4.19989E-11;2.68793E-11;1.67E-10;1.0688E-10;6.65953E-8;4.2621E-8;0.0;0.0;0.0;0.0;0.0;0.0;1.88E-9;1.2032E-9;0.0;0.0;2.64E-10;1.6896E-10;1.69998E-10;1.08799E-10;8.09E-10;5.1776E-10;0.0;0.0;0.0;0.0;7.22002E-11;4.62081E-11;3.91E-10;2.5024E-10;3.72E-9;2.3808E-9;3.12E-11;1.9968E-11;7.32001E-11;4.6848E-11;1.71E-10;1.0944E-10;1.21E-9;7.74401E-10;3.71E-9;2.3744E-9;0.0;0.0;3.26936E-12;2.09239E-12;6.58166E-9;4.21226E-9;6.18001E-10;3.95521E-10
Ag131;2.91023E-15;1.86255E-15;3.36028E-13;2.15058E-13;1.94194E-9;1.24284E-9;1.37493E-12;8.79957E-13;4.45375E-13;2.8504E-13;1.41775E-12;9.07358E-13;3.16596E-12;2.02622E-12;1.59446E-9;1.02046E-9;7.06354E-11;4.52066E-11;2.31739E-9;1.48313E-9;1.29292E-16;8.27469E-17;1.69844E-11;1.087E-11;4.60855E-12;2.94947E-12;8.4486E-12;5.4071E-12;4.4936E-12;2.8759E-12;1.08927E-11;6.97134E-12;1.32116E-11;8.45541E-12;1.13412E-10;7.25838E-11;1.45786E-12;9.33028E-13;7.6529E-12;4.89786E-12;9.53317E-11;6.10123E-11;;;4.34377E-12;2.78001E-12;5.45196E-12;3.48925E-12;2.23972E-11;1.43342E-11;6.40171E-11;4.09709E-11;5.11062E-9;3.2708E-9;;;9.30881E-11;5.95764E-11;6.00096E-12;3.84061E-12
Ag132;;;9.27679E-15;5.93715E-15;5.62854E-12;3.60227E-12;;;;;;;5.30297E-14;3.3939E-14;;;3.68142E-12;2.35611E-12;3.84246E-12;2.45917E-12;6.85992E-11;4.39035E-11;4.46469E-13;2.8574E-13;1.08675E-13;6.95517E-14;2.11891E-13;1.3561E-13;;;2.87093E-13;1.83739E-13;4.69483E-13;3.00469E-13;5.82617E-12;3.72875E-12;;;1.70468E-13;1.091E-13;4.56939E-12;2.92441E-12;;;;;;;8.17741E-13;5.23354E-13;2.83634E-12;1.81526E-12;1.44053E-11;9.21941E-12;;;5.5009E-12;3.52058E-12;2.04185E-13;1.30679E-13
Ag133;;;;;2.5527E-13;1.63373E-13;;;;;;;;;;;2.24975E-13;1.43984E-13;2.76258E-13;1.76805E-13;3.45435E-12;2.21079E-12;;;;;;;;;;;;;5.44477E-13;3.48465E-13;;;;;;;;;;;;;;;;;1.9975E-12;1.2784E-12;;;;;;
Cd105;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Cd106;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.76E-14;1.7664E-14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Cd107;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.14E-12;1.3696E-12;1.16E-13;7.42401E-14;2.01E-14;1.2864E-14;0.0;0.0;0.0;0.0;0.0;0.0;2.64948E-13;1.69567E-13;0.0;0.0;0.0;0.0
Cd108;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.61001E-14;4.23041E-14;1.54E-14;9.856E-15;6.13E-14;3.9232E-14;1.19E-10;7.616E-11;1.18E-11;7.55201E-12;3.25E-12;2.08E-12;2.54E-14;1.6256E-14;0.0;0.0;0.0;0.0;1.97961E-11;1.26695E-11;2.72069E-14;1.74124E-14;0.0;0.0
Cd109;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.24087E-14;3.99416E-14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.62001E-12;2.95681E-12;2.45E-12;1.568E-12;6.2E-12;3.968E-12;4.4E-9;2.816E-9;7.46001E-10;4.7744E-10;2.79E-10;1.7856E-10;2.58E-12;1.6512E-12;9.96E-13;6.3744E-13;0.0;0.0;7.42855E-10;4.75427E-10;3.28083E-12;2.09973E-12;2.88001E-13;1.8432E-13
Cd110;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.31074E-12;3.39887E-12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.24E-10;1.4336E-10;1.78E-10;1.1392E-10;4.05E-10;2.592E-10;1.36E-7;8.704E-8;2.27E-8;1.4528E-8;1.39E-8;8.896E-9;2.22E-10;1.4208E-10;1.08E-10;6.912E-11;2.17E-13;1.3888E-13;2.84944E-8;1.82364E-8;2.52064E-10;1.61321E-10;3.48001E-11;2.2272E-11
Cd111;0.0;0.0;0.0;0.0;0.0;0.0;3.9E-13;2.496E-13;2.08029E-11;1.33139E-11;5.32987E-14;3.41111E-14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.5E-9;2.24E-9;4.3E-7;2.752E-7;1.11E-7;7.10401E-8;7.15E-8;4.576E-8;2.71E-9;1.7344E-9;8.73E-10;5.5872E-10;6.4E-12;4.096E-12;1.16977E-7;7.48654E-8;2.43061E-9;1.55559E-9;5.00001E-10;3.20001E-10
Cd111m;1.22E-14;7.80801E-15;1.13001E-14;7.23204E-15;0.0;0.0;1.47E-12;9.408E-13;6.97097E-11;4.46142E-11;1.77996E-13;1.13917E-13;2.56E-14;1.6384E-14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.2E-14;1.408E-14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.32E-8;8.448E-9;1.62E-6;1.0368E-6;3.72E-7;2.3808E-7;2.39E-7;1.5296E-7;9.06002E-9;5.79841E-9;5.36E-9;3.4304E-9;2.14E-11;1.3696E-11;3.91923E-7;2.50831E-7;8.14206E-9;5.21092E-9;1.67E-9;1.0688E-9
Cd112;5.06E-12;3.2384E-12;3.12002E-12;1.99681E-12;0.0;0.0;9.46E-11;6.0544E-11;2.22031E-9;1.421E-9;2.45994E-11;1.57436E-11;9.70001E-12;6.208E-12;1.05993E-11;3.39176E-12;6.70033E-14;4.28821E-14;0.0;0.0;0.0;0.0;1.21E-11;7.744E-12;0.0;0.0;1.13E-10;7.232E-11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.51E-10;4.8064E-10;1.13E-10;7.23201E-11;3.8E-6;2.432E-6;5.04001E-7;3.22561E-7;1.93E-7;1.2352E-7;1.93E-9;1.2352E-9;7.38855E-6;4.72868E-6;3.1508E-7;2.01651E-7;9.65002E-8;6.17601E-8
Cd113;1.5E-10;9.60001E-11;5.77003E-11;3.69282E-11;6.61985E-14;4.2367E-14;1.17E-9;7.488E-10;7.10099E-9;4.54463E-9;3.42991E-10;2.19514E-10;1.41E-10;9.02401E-11;2.58982E-12;1.65748E-12;2.0601E-12;1.31847E-12;6.48007E-14;4.14725E-14;1.61001E-14;1.03041E-14;2.18E-10;1.3952E-10;3.19E-13;2.0416E-13;3.49E-9;2.2336E-9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.79E-9;1.1456E-9;1.97E-10;1.2608E-10;6.99E-10;4.4736E-10;1.25E-6;8.00001E-7;4.07E-7;2.6048E-7;1.81E-8;1.1584E-8;1.09379E-5;7.00023E-6;1.09028E-6;6.97776E-7;6.25001E-7;4.00001E-7
Cd113m;5.01E-10;3.2064E-10;1.93001E-10;1.23521E-10;2.48994E-13;1.59356E-13;4.39E-9;2.8096E-9;2.38033E-8;1.52341E-8;1.14997E-9;7.35982E-10;5.31E-10;3.3984E-10;8.67939E-12;5.55481E-12;7.76039E-12;4.96665E-12;2.44003E-13;1.56162E-13;6.04004E-14;3.86562E-14;8.2E-10;5.248E-10;1.2E-12;7.68E-13;1.31E-8;8.384E-9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.15E-14;1.376E-14;6.75E-9;4.32E-9;6.61E-10;4.2304E-10;2.34E-9;1.4976E-9;4.17001E-6;2.6688E-6;2.5E-6;1.6E-6;6.08E-8;3.8912E-8;3.66028E-5;2.34258E-5;3.64092E-6;2.33019E-6;2.09E-6;1.3376E-6
Cd114;2.89E-8;1.8496E-8;1.61001E-8;1.03041E-8;4.78989E-11;3.06553E-11;9.52E-8;6.0928E-8;3.95055E-7;2.52835E-7;3.00992E-8;1.92635E-8;2.8E-8;1.792E-8;7.64946E-10;4.89565E-10;7.86039E-10;5.03065E-10;4.51005E-11;2.88643E-11;1.23001E-11;7.87205E-12;3.31E-8;2.1184E-8;3.59E-10;2.2976E-10;7.2E-7;4.608E-7;2.21997E-9;1.42078E-9;3.1E-10;1.984E-10;0.0;0.0;0.0;0.0;6.78002E-14;4.33921E-14;9.57E-14;6.1248E-14;6.3E-13;4.032E-13;5.11E-8;3.2704E-8;5.69E-9;3.6416E-9;3.13E-8;2.0032E-8;3.58001E-9;2.2912E-9;2.15E-9;1.376E-9;1.79E-6;1.1456E-6;2.92683E-4;1.87317E-4;5.9345E-5;3.79808E-5;4.44701E-5;2.84609E-5
Cd115;1.26E-7;8.06401E-8;5.57003E-8;3.56482E-8;5.34988E-10;3.42392E-10;3.28E-7;2.0992E-7;7.69107E-7;4.92229E-7;1.31997E-7;8.44779E-8;1.2E-7;7.68001E-8;8.99936E-9;2.8798E-9;5.58028E-9;3.57138E-9;6.50007E-10;4.16005E-10;1.06001E-10;6.78404E-11;8.43E-8;5.3952E-8;4.38E-9;2.8032E-9;2.19E-6;1.4016E-6;2.02997E-8;1.29918E-8;3.71E-9;2.3744E-9;1.11E-10;7.10399E-11;0.0;0.0;1.2E-13;7.68002E-14;4.63E-13;2.9632E-13;1.42E-12;9.088E-13;4.17E-8;2.6688E-8;1.1E-8;7.04001E-9;4.24E-8;2.7136E-8;6.97001E-9;4.46081E-9;3.33E-9;2.1312E-9;5.41E-10;3.4624E-10;1.94442E-4;1.24443E-4;1.13499E-4;7.26391E-5;1.0641E-4;6.81025E-5
Cd115m;4.21E-7;2.6944E-7;1.86001E-7;1.19041E-7;2.00995E-9;1.28637E-9;1.23E-6;7.872E-7;2.57036E-6;1.64503E-6;4.41989E-7;2.82873E-7;4.5E-7;2.88E-7;5.52961E-8;1.76947E-8;2.1001E-8;1.34407E-8;2.45003E-9;1.56802E-9;3.98003E-10;2.54722E-10;3.17E-7;2.0288E-7;1.65E-8;1.056E-8;8.24E-6;5.2736E-6;6.79992E-8;4.35195E-8;1.24E-8;7.936E-9;3.7E-10;2.368E-10;0.0;0.0;4.01001E-13;2.56641E-13;1.55E-12;9.92E-13;5.34E-12;3.4176E-12;1.57E-7;1.0048E-7;3.69E-8;2.3616E-8;1.42E-7;9.088E-8;2.33E-8;1.4912E-8;2.04E-8;1.3056E-8;1.81E-9;1.1584E-9;6.50953E-4;4.1661E-4;3.79976E-4;2.43185E-4;3.56251E-4;2.28E-4
Cd116;7.82001E-6;5.0048E-6;3.10002E-6;1.98401E-6;6.11986E-8;3.91671E-8;9.16E-6;5.8624E-6;1.61723E-5;1.03502E-5;3.17992E-6;2.03515E-6;5.53E-6;3.5392E-6;2.99979E-7;1.91986E-7;4.29021E-7;2.74574E-7;7.61009E-8;4.87046E-8;1.56001E-8;9.98406E-9;3.82E-6;2.4448E-6;4.5E-7;2.88E-7;6.34E-5;4.0576E-5;2.55997E-6;1.63838E-6;3.44E-7;2.2016E-7;3.27E-8;2.0928E-8;1.08E-8;6.912E-9;1.37E-7;8.76802E-8;3.35E-7;2.144E-7;7.43E-11;4.7552E-11;8.63E-7;5.5232E-7;1.76E-7;1.1264E-7;9.44E-7;6.0416E-7;1.23E-7;7.87201E-8;1.63E-7;1.0432E-7;3.51E-8;2.2464E-8;0.0011265;1.8024E-4;0.00203758;0.00130405;0.00253321;0.00162125
Cd117;1.245E-5;7.96801E-6;6.18003E-6;3.95522E-6;1.59996E-7;1.02398E-7;9.42E-6;6.0288E-6;1.01514E-5;6.49691E-6;3.73991E-6;2.39354E-6;6.5E-6;4.16E-6;1.11992E-6;7.16749E-7;8.39042E-7;5.36987E-7;1.91002E-7;1.22241E-7;6.04004E-8;3.86562E-8;4.27E-6;2.7328E-6;1.24E-6;7.936E-7;4.254E-5;2.72256E-5;4.51994E-6;2.89276E-6;8.93E-7;5.7152E-7;1.85E-7;1.184E-7;5.0E-8;3.2E-8;7.10002E-7;4.54401E-7;1.04E-6;6.656E-7;7.15E-7;4.576E-7;7.14E-7;4.5696E-7;1.33E-7;8.51201E-8;8.15E-7;5.216E-7;1.36E-7;8.70401E-8;1.08E-7;6.912E-8;6.86E-8;4.3904E-8;5.78597E-4;3.70302E-4;0.00124663;7.97846E-4;0.00217862;0.00139432
Cd117m;4.168E-5;2.66752E-5;2.07001E-5;1.32481E-5;6.00986E-7;3.84631E-7;3.544E-5;2.26816E-5;3.39847E-5;2.17502E-5;1.25197E-5;8.0126E-6;2.446E-5;1.56544E-5;3.72974E-6;2.38703E-6;3.16016E-6;2.0225E-6;7.19008E-7;4.60165E-7;2.27001E-7;1.45281E-7;1.606E-5;1.02784E-5;4.65E-6;2.976E-6;1.6004E-4;1.02426E-4;1.51198E-5;9.676679E-6;2.99E-6;1.9136E-6;6.19E-7;3.9616E-7;1.67E-7;1.0688E-7;2.38001E-6;1.5232E-6;3.47E-6;2.2208E-6;2.69E-6;1.7216E-6;2.69E-6;1.7216E-6;4.47E-7;2.8608E-7;2.73E-6;1.7472E-6;4.55001E-7;2.91201E-7;6.62E-7;4.2368E-7;2.3E-7;1.472E-7;0.00192346;0.00123102;0.00417352;0.00267106;0.00729367;0.00466795
Cd118;2.5498E-4;1.63187E-4;8.08304E-5;5.17315E-5;6.62985E-6;4.2431E-6;1.4583E-4;9.33312E-5;7.01198E-5;4.48767E-5;6.22284E-5;3.98262E-5;1.3778E-4;8.81793E-5;1.71488E-5;1.09752E-5;2.61513E-5;1.67368E-5;8.27009E-6;5.29286E-6;2.86002E-6;1.83041E-6;9.381E-5;6.00384E-5;3.843E-5;2.45952E-5;4.2098E-4;2.69427E-4;3.90195E-5;8.974489E-6;3.133E-5;2.00512E-5;8.59999E-6;5.504E-6;3.48E-6;2.2272E-6;3.34401E-5;2.14016E-5;2.976E-5;1.90464E-5;2.905E-5;1.8592E-5;1.8033E-4;1.15411E-4;6.1E-5;3.904E-5;9.83E-5;6.2912E-5;1.74E-6;1.1136E-6;2.28E-6;1.4592E-6;1.44E-6;9.216E-7;0.00212598;0.00136063;0.00752017;0.00481291;0.0220223;0.00704713
Cd119;2.2786E-4;1.45831E-4;5.83903E-5;3.73698E-5;1.63796E-5;1.0483E-5;1.5599E-4;9.98336E-5;2.92141E-5;1.8697E-5;5.70086E-5;3.64855E-5;1.4526E-4;9.29665E-5;2.44683E-5;1.56597E-5;4.25921E-5;2.7259E-5;1.85402E-5;1.18657E-5;9.15006E-6;5.85604E-6;1.0944E-4;7.00416E-5;6.79E-5;4.3456E-5;2.4585E-4;1.57344E-4;7.660909E-5;4.90298E-5;5.767E-5;3.69088E-5;2.112E-5;1.35168E-5;1.325E-5;8.48E-6;4.90901E-5;3.14177E-5;3.945E-5;2.5248E-5;7.145E-5;4.5728E-5;2.3224E-4;1.48634E-4;6.88401E-5;4.40576E-5;1.6212E-4;1.03757E-4;3.15101E-5;2.01664E-5;3.01E-6;1.9264E-6;2.21E-6;1.4144E-6;9.1956E-4;5.88518E-4;0.0043536;0.0027863;0.0175584;0.00561868
Cd119m;2.2786E-4;1.45831E-4;5.83903E-5;3.73698E-5;1.63796E-5;1.0483E-5;1.5599E-4;9.98336E-5;2.92141E-5;1.8697E-5;5.70086E-5;3.64855E-5;1.4526E-4;9.29665E-5;2.24884E-5;1.43926E-5;4.25921E-5;2.7259E-5;1.85402E-5;1.18657E-5;9.15006E-6;5.85604E-6;1.0944E-4;7.00416E-5;6.79E-5;4.3456E-5;2.4585E-4;1.57344E-4;7.660909E-5;4.90298E-5;5.767E-5;3.69088E-5;2.112E-5;1.35168E-5;1.325E-5;8.48E-6;4.90901E-5;3.14177E-5;3.945E-5;2.5248E-5;7.145E-5;4.5728E-5;2.3224E-4;1.48634E-4;6.88401E-5;4.40576E-5;1.6212E-4;1.03757E-4;3.15101E-5;2.01664E-5;3.01E-6;1.9264E-6;2.21E-6;1.4144E-6;9.1956E-4;5.88518E-4;0.0043536;0.0027863;0.0175584;0.00561868
Cd120;7.32511E-4;4.68807E-4;1.30811E-4;8.37188E-5;1.22797E-4;7.85902E-5;4.5723E-4;2.92627E-4;4.89568E-5;3.13324E-5;1.68986E-4;1.08151E-4;4.7749E-4;3.05594E-4;8.38841E-5;5.36858E-5;2.14561E-4;1.37319E-4;1.26251E-4;8.08009E-5;7.48305E-5;4.78915E-5;3.2106E-4;2.05478E-4;2.9669E-4;1.89882E-4;4.7612E-4;3.04717E-4;2.13767E-4;1.36811E-4;1.8887E-4;1.20877E-4;1.1979E-4;7.66655E-5;8.841E-5;5.65824E-5;1.5667E-4;1.00269E-4;1.3551E-4;8.67264E-5;3.5938E-4;2.30003E-4;4.7367E-4;3.03149E-4;2.169E-4;1.38816E-4;4.068E-4;2.60352E-4;1.7252E-4;1.10413E-4;1.4107E-4;9.02848E-5;1.08E-5;6.912E-6;0.00155224;9.93431E-4;0.00630398;0.00283679;0.0363643;0.0116366
Cd121;3.67375E-4;2.3512E-4;4.84353E-5;3.09986E-5;1.14577E-4;7.33295E-5;2.1908E-4;1.40211E-4;1.4152E-5;9.05726E-6;6.76633E-5;4.33045E-5;2.28755E-4;1.46403E-4;3.61924E-5;2.31632E-5;1.30772E-4;8.36938E-5;1.09746E-4;7.02376E-5;8.04105E-5;5.14627E-5;1.4865E-4;9.5136E-5;2.0267E-4;1.29709E-4;1.41235E-4;9.03904E-5;1.12624E-4;7.207909E-5;1.05845E-4;6.77408E-5;8.70099E-5;5.56864E-5;6.3835E-5;4.08544E-5;7.35902E-5;4.70977E-5;5.748E-5;3.67872E-5;2.53065E-4;1.61962E-4;9.977E-5;6.38528E-5;6.07E-5;3.8848E-5;1.2228E-4;7.82592E-5;9.90002E-5;6.33601E-5;1.56215E-4;9.99776E-5;7.8485E-5;5.02304E-5;5.50172E-4;3.5211E-4;0.00207112;0.00132552;0.0126342;0.0080859
Cd121m;3.67375E-4;2.3512E-4;4.84353E-5;3.09986E-5;1.14577E-4;7.33295E-5;2.1908E-4;1.40211E-4;1.4152E-5;9.05726E-6;6.76633E-5;4.33045E-5;2.28755E-4;1.46403E-4;3.61924E-5;2.31632E-5;1.30772E-4;8.36938E-5;1.09746E-4;7.02376E-5;8.04105E-5;5.14627E-5;1.4865E-4;9.5136E-5;2.0267E-4;1.29709E-4;1.41235E-4;9.03904E-5;1.12624E-4;7.207909E-5;1.05845E-4;6.77408E-5;8.70099E-5;5.56864E-5;6.3835E-5;4.08544E-5;7.35902E-5;4.70977E-5;5.748E-5;3.67872E-5;2.53065E-4;1.61962E-4;9.977E-5;6.38528E-5;6.07E-5;3.8848E-5;1.2228E-4;7.82592E-5;9.90002E-5;6.33601E-5;1.56215E-4;9.99776E-5;7.8485E-5;5.02304E-5;5.50172E-4;3.5211E-4;0.00207112;0.00132552;0.0126342;0.0080859
Cd122;4.3273E-4;2.76947E-4;6.68904E-5;4.28098E-5;2.60144E-4;1.66492E-4;2.6791E-4;1.71462E-4;2.1183E-5;1.35571E-5;1.48876E-4;9.52808E-5;3.8113E-4;2.43923E-4;1.19302E-4;7.6353E-5;3.56788E-4;2.28344E-4;3.38954E-4;2.1693E-4;2.66272E-4;1.70414E-4;2.0872E-4;1.33581E-4;3.485E-4;2.2304E-4;1.2518E-4;8.01152E-5;1.69308E-4;1.08357E-4;1.8369E-4;1.17562E-4;1.6069E-4;1.02842E-4;1.7589E-4;1.1257E-4;8.83202E-5;5.65249E-5;1.1515E-4;7.3696E-5;4.2766E-4;2.73702E-4;4.09E-6;2.6176E-6;7.73001E-6;4.9472E-6;8.407E-5;5.38048E-5;2.2379E-4;1.43226E-4;3.1096E-4;1.99014E-4;3.1963E-4;2.04563E-4;9.6886E-4;6.20071E-4;0.00216435;0.00138518;0.00888807;0.00568836
