Product;Th227  Thermal (0.0253 eV);Th227  Thermal (0.0253 eV);Th229  Thermal (0.0253 eV);Th229  Thermal (0.0253 eV);Th232  Fast (500 keV);Th232  Fast (500 keV);Pa231  Fast (500 keV);Pa231  Fast (500 keV);U232  Thermal (0.0253 eV);U232  Thermal (0.0253 eV);U233  Thermal (0.0253 eV);U233  Thermal (0.0253 eV);U234  Fast (500 keV);U234  Fast (500 keV);U235  Thermal (0.0253 eV);U235  Thermal (0.0253 eV);U236  Fast (500 keV);U236  Fast (500 keV);U237  Fast (500 keV);U237  Fast (500 keV);U238  Fast (500 keV);U238  Fast (500 keV);Np237  Fast (500 keV);Np237  Fast (500 keV);Np238  Fast (500 keV);Np238  Fast (500 keV);Pu238  Fast (500 keV);Pu238  Fast (500 keV);Pu239  Thermal (0.0253 eV);Pu239  Thermal (0.0253 eV);Pu240  Thermal (0.0253 eV);Pu240  Thermal (0.0253 eV);Pu241  Thermal (0.0253 eV);Pu241  Thermal (0.0253 eV);Pu242  Thermal (0.0253 eV);Pu242  Thermal (0.0253 eV);Am241  Thermal (0.0253 eV);Am241  Thermal (0.0253 eV);Am242m  Thermal (0.0253 eV);Am242m  Thermal (0.0253 eV);Am243  Fast (500 keV);Am243  Fast (500 keV);Cm242  Fast (500 keV);Cm242  Fast (500 keV);Cm243  Thermal (0.0253 eV);Cm243  Thermal (0.0253 eV);Cm244  Fast (500 keV);Cm244  Fast (500 keV);Cm245  Thermal (0.0253 eV);Cm245  Thermal (0.0253 eV);Cm246  Fast (500 keV);Cm246  Fast (500 keV);Cm248  Fast (500 keV);Cm248  Fast (500 keV);Cf249  Thermal (0.0253 eV);Cf249  Thermal (0.0253 eV);Cf251  Thermal (0.0253 eV);Cf251  Thermal (0.0253 eV);Fm255  Thermal (0.0253 eV);Fm255  Thermal (0.0253 eV)
Product;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Product;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error;Yield;Error
Mn73;;;1.07998E-18;6.91185E-19;1.03847E-16;6.64622E-17;;;;;;;;;6.41071E-19;4.10286E-19;3.5617E-17;2.27949E-17;2.29946E-17;1.47165E-17;3.91367E-16;2.50475E-16;1.81496E-17;1.16157E-17;4.27498E-19;2.73599E-19;;;;;1.729E-18;1.10656E-18;;;3.59748E-18;2.30239E-18;;;;;;;;;;;;;;;9.86455E-17;6.31331E-17;1.37218E-16;8.78196E-17;;;;;;
Mn74;;;;;4.37372E-18;2.79918E-18;;;;;;;;;;;;;;;1.66975E-17;1.06864E-17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fe66;2.57E-10;1.6448E-10;1.79001E-10;1.14561E-10;7.42983E-9;4.75509E-9;2.41E-7;1.5424E-7;1.36119E-5;8.71162E-6;8.1598E-10;5.22227E-10;1.32E-8;8.44801E-9;3.75973E-10;2.40623E-10;4.38022E-9;2.80334E-9;2.64003E-9;1.68962E-9;2.17001E-8;1.38881E-8;5.56E-10;3.5584E-10;4.03E-10;2.5792E-10;3.62E-9;2.3168E-9;3.62996E-10;2.32317E-10;5.34E-10;3.4176E-10;2.86E-10;1.8304E-10;2.39E-10;1.5296E-10;2.15E-10;1.376E-10;2.03E-8;1.2992E-8;1.25E-9;8.0E-10;1.0E-9;6.4E-10;6.6E-9;4.224E-9;1.21E-8;7.744E-9;2.82E-9;1.8048E-9;1.16E-8;7.424E-9;8.42E-9;5.3888E-9;1.22976E-10;7.87046E-11;2.22056E-7;1.42116E-7;1.71E-7;1.0944E-7
Fe67;1.13E-10;7.23201E-11;1.46001E-10;9.34405E-11;1.46997E-8;9.40779E-9;1.53E-7;9.792E-8;4.54063E-6;2.90601E-6;1.03997E-9;6.65583E-10;9.53001E-9;6.0992E-9;6.86951E-10;4.39649E-10;4.75024E-9;3.04015E-9;4.03005E-9;2.57923E-9;7.40005E-8;4.73603E-8;4.47E-10;2.8608E-10;6.32E-10;4.0448E-10;1.89E-9;1.2096E-9;1.81998E-10;1.16479E-10;3.46E-10;2.2144E-10;2.46E-10;1.5744E-10;2.11E-10;1.3504E-10;1.19E-10;7.61602E-11;1.39E-8;8.896E-9;8.93E-10;5.7152E-10;8.35E-10;5.344E-10;5.38E-9;3.4432E-9;6.67E-9;4.2688E-9;2.0E-9;1.28E-9;8.49E-9;5.4336E-9;7.35E-9;4.704E-9;4.53911E-11;2.90503E-11;1.26032E-7;8.06604E-8;5.44001E-8;3.48161E-8
Fe68;6.08001E-11;3.8912E-11;1.30001E-10;8.32004E-11;2.40995E-8;1.54237E-8;6.96E-8;4.4544E-8;1.36019E-6;8.70522E-7;7.40981E-10;4.74228E-10;6.65E-9;4.256E-9;3.91972E-10;2.50862E-10;3.10015E-9;1.9841E-9;2.10002E-9;1.34402E-9;4.30003E-8;2.75202E-8;6.21E-10;3.9744E-10;6.28E-10;4.0192E-10;1.4E-9;8.96E-10;1.34998E-10;8.63989E-11;2.64E-10;1.6896E-10;1.36E-10;8.70399E-11;1.66E-10;1.0624E-10;5.43001E-11;3.47521E-11;4.8E-9;3.072E-9;6.34E-10;4.0576E-10;2.18E-10;1.3952E-10;3.2E-9;2.048E-9;2.88E-9;1.8432E-9;1.04E-9;6.65601E-10;4.59E-9;2.9376E-9;4.61E-9;2.9504E-9;5.87885E-11;3.76246E-11;4.47113E-8;2.86152E-8;1.06E-8;6.78401E-9
Fe69;1.23E-11;7.87201E-12;7.06004E-11;4.51842E-11;1.23997E-8;7.93582E-9;2.13E-8;1.3632E-8;2.26032E-7;1.4466E-7;2.82993E-10;1.81115E-10;2.11E-9;1.3504E-9;1.21991E-10;7.80745E-11;1.20006E-9;7.68038E-10;1.21001E-9;7.74409E-10;1.44001E-8;9.21606E-9;4.21E-12;2.6944E-12;3.01E-10;1.9264E-10;6.99E-10;4.4736E-10;5.86993E-11;3.75675E-11;1.24E-10;7.936E-11;4.52E-11;2.8928E-11;6.76E-11;4.3264E-11;1.45E-11;9.28002E-12;1.47E-9;9.408E-10;2.84E-10;1.8176E-10;4.52E-11;2.8928E-11;1.08E-9;6.91201E-10;8.35E-10;5.344E-10;4.32001E-10;2.7648E-10;1.84E-9;1.1776E-9;2.08E-9;1.3312E-9;1.35973E-11;8.7023E-12;1.29033E-8;8.25808E-9;1.4E-9;8.96002E-10
Fe70;1.74E-12;1.1136E-12;2.41001E-11;1.54241E-11;4.16991E-9;2.66874E-9;3.66E-9;2.3424E-9;2.92041E-8;1.86906E-8;1.23997E-10;7.9358E-11;7.91001E-10;5.0624E-10;3.23977E-11;2.07345E-11;3.40017E-10;2.17611E-10;3.45004E-10;2.20803E-10;3.49002E-9;2.23361E-9;1.83E-10;1.1712E-10;6.41E-11;4.1024E-11;2.86E-10;1.8304E-10;1.83998E-11;1.17759E-11;4.72E-11;3.0208E-11;1.5E-11;9.59999E-12;3.62E-11;2.3168E-11;4.38001E-12;2.80321E-12;2.48E-10;1.5872E-10;1.23E-10;7.872E-11;1.14E-11;7.296E-12;2.26E-10;1.4464E-10;1.8E-10;1.152E-10;1.31E-10;8.38401E-11;4.78E-10;3.0592E-10;6.88E-10;4.4032E-10;9.55813E-12;6.1172E-12;2.17055E-9;1.38915E-9;1.2E-10;7.68002E-11
Fe71;9.67001E-14;6.18881E-14;6.60003E-12;4.22402E-12;9.99977E-10;6.39986E-10;4.41E-10;2.8224E-10;2.1203E-9;1.35699E-9;3.25992E-11;2.08635E-11;1.22E-10;7.80801E-11;4.91965E-12;3.14858E-12;6.81034E-11;4.35862E-11;7.38008E-11;4.72325E-11;4.97003E-10;3.18082E-10;3.75E-11;2.4E-11;1.0E-11;6.4E-12;4.66E-11;2.9824E-11;1.82998E-12;1.17119E-12;5.63E-12;3.6032E-12;3.11E-12;1.9904E-12;4.7E-12;3.008E-12;3.53001E-13;2.25921E-13;3.27E-11;2.0928E-11;1.79E-11;1.1456E-11;1.2E-12;7.68E-13;3.3E-11;2.112E-11;2.48E-11;1.5872E-11;2.16E-11;1.3824E-11;8.23E-11;5.2672E-11;1.48E-10;9.472E-11;1.09978E-12;7.03862E-13;2.32059E-10;1.48517E-10;6.38001E-12;4.08321E-12
Fe72;0.0;0.0;1.34999E-12;8.63995E-13;1.82994E-10;1.17116E-10;3.15988E-11;2.02232E-11;9.2008E-11;5.88851E-11;3.88982E-12;2.48948E-12;6.99986E-12;4.47991E-12;7.14943E-13;4.57564E-13;1.35003E-11;8.64017E-12;8.55001E-12;5.472E-12;5.15984E-11;3.3023E-11;4.81984E-12;3.0847E-12;1.24999E-12;7.99995E-13;5.36975E-12;3.43664E-12;2.27988E-13;1.45912E-13;9.76979E-13;6.25267E-13;4.94988E-14;3.16792E-14;1.08997E-12;6.97582E-13;1.78993E-14;1.14556E-14;3.49986E-12;2.23991E-12;2.26969E-12;1.4526E-12;1.38E-13;8.832E-14;3.52975E-12;2.25904E-12;2.39973E-12;1.53582E-12;2.09988E-12;1.34392E-12;1.02988E-11;6.59125E-12;2.31987E-11;1.48472E-11;1.40972E-13;9.02224E-14;1.87035E-11;1.19702E-11;2.05997E-13;1.31838E-13
Fe73;0.0;0.0;6.90993E-14;4.42235E-14;9.69968E-12;6.20779E-12;1.6E-12;1.024E-12;2.48035E-12;1.58742E-12;2.21994E-13;1.42076E-13;2.57E-13;1.6448E-13;5.53954E-14;3.54531E-14;1.19002E-12;7.61615E-13;1.59E-12;1.0176E-12;9.57967E-12;6.13099E-12;4.04982E-13;2.59188E-13;4.86996E-14;3.11677E-14;1.51E-13;9.664E-14;0.0;0.0;5.99983E-14;3.83989E-14;0.0;0.0;1.17996E-13;7.55177E-14;0.0;0.0;1.93E-13;1.2352E-13;2.35E-13;1.504E-13;1.22E-14;7.808E-15;2.04E-13;1.3056E-13;1.43E-13;9.152E-14;1.32E-13;8.44801E-14;8.65901E-13;5.54177E-13;2.05986E-12;1.31831E-12;1.0298E-14;6.59071E-15;1.15029E-12;7.36186E-13;0.0;0.0
